date,storage,inflow,outflow,evaporation,elevation,,,,,,,
4/9/65,NA,2228.532,2418.255,NA,NA,,,,,,,
4/10/65,NA,2344.631,2398.433,NA,NA,,,,,,,
4/11/65,NA,2293.661,2474.888,NA,NA,,,,,,,
4/12/65,NA,2355.958,2435.245,NA,NA,,,,,,,
4/13/65,NA,2752.393,2423.918,NA,NA,,,,,,,
4/14/65,NA,2902.472,2415.423,NA,NA,,,,,,,
4/15/65,NA,3177.145,2721.244,NA,NA,,,,,,,
4/16/65,NA,3129.006,3049.719,NA,NA,,,,,,,
4/17/65,NA,3395.184,3403.679,NA,NA,,,,,,,
4/18/65,NA,3406.511,3335.719,NA,NA,,,,,,,
4/19/65,NA,3451.818,3304.571,NA,NA,,,,,,,
4/20/65,NA,3545.263,3471.64,NA,NA,,,,,,,
4/21/65,NA,3785.956,3621.719,NA,NA,,,,,,,
4/22/65,NA,4001.164,4360.787,NA,NA,,,,,,,
4/23/65,NA,4289.995,4046.471,NA,NA,,,,,,,
4/24/65,NA,4437.243,4074.788,NA,NA,,,,,,,
4/25/65,NA,4536.351,4077.619,NA,NA,,,,,,,
4/26/65,NA,4689.262,3995.5,NA,NA,,,,,,,
4/27/65,NA,4949.777,3970.015,NA,NA,,,,,,,
4/28/65,NA,5196.133,3890.728,NA,NA,,,,,,,
4/29/65,NA,5649.202,3845.421,NA,NA,,,,,,,
4/30/65,NA,5674.687,3927.54,NA,NA,,,,,,,
5/1/65,NA,5906.884,4811.024,NA,NA,,,,,,,
5/2/65,NA,6156.072,6127.756,NA,NA,,,,,,,
5/3/65,NA,6082.449,5759.637,NA,NA,,,,,,,
5/4/65,NA,6192.884,6071.122,NA,NA,,,,,,,
5/5/65,NA,6348.627,5983.34,NA,NA,,,,,,,
5/6/65,NA,6306.151,6345.795,NA,NA,,,,,,,
5/7/65,NA,6238.191,5521.776,NA,NA,,,,,,,
5/8/65,NA,6073.954,5912.548,NA,NA,,,,,,,
5/9/65,NA,6011.657,5957.855,NA,NA,,,,,,,
5/10/65,NA,5957.855,5728.489,NA,NA,,,,,,,
5/11/65,NA,5994.667,5615.221,NA,NA,,,,,,,
5/12/65,NA,6011.657,5756.805,NA,NA,,,,,,,
5/13/65,NA,6122.092,5858.746,NA,NA,,,,,,,
5/14/65,NA,6275.003,5898.389,NA,NA,,,,,,,
5/15/65,NA,6371.28,6096.607,NA,NA,,,,,,,
5/16/65,NA,6345.795,6224.033,NA,NA,,,,,,,
5/17/65,NA,6671.438,6221.201,NA,NA,,,,,,,
5/18/65,NA,6699.755,6365.617,NA,NA,,,,,,,
5/19/65,NA,6699.755,6544.012,NA,NA,,,,,,,
5/20/65,NA,6872.487,6640.29,NA,NA,,,,,,,
5/21/65,NA,6968.764,6569.498,NA,NA,,,,,,,
5/22/65,NA,6917.794,6243.854,NA,NA,,,,,,,
5/23/65,NA,6886.646,6243.854,NA,NA,,,,,,,
5/24/65,NA,6835.676,6348.627,NA,NA,,,,,,,
5/25/65,NA,6912.131,6164.567,NA,NA,,,,,,,
5/26/65,NA,6875.319,5957.855,NA,NA,,,,,,,
5/27/65,NA,6940.448,6201.379,NA,NA,,,,,,,
